Data,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),"VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),CHOVEU
2023-02-08,0.2,1005.7458333333334,1005.9833333333332,1005.525,27.275000000000002,27.754166666666666,26.795833333333334,8.133333333333333,4.116666666666666,21.895833333333332,21.400000000000002,1
2023-02-28,0.2,1008.2958333333332,1008.5333333333333,1008.0541666666667,28.45,28.895833333333332,28.025000000000002,9.583333333333334,4.691666666666666,23.28333333333333,22.816666666666666,1
2023-04-17,0.2,1003.1318181818183,1003.4545454545455,1002.95,26.727272727272727,27.104545454545452,26.35,4.8999999999999995,2.2954545454545454,23.79090909090909,23.486363636363638,1
2023-03-26,0.2,1006.2958333333332,1006.5291666666667,1006.0375,26.84166666666667,27.483333333333334,26.258333333333336,7.308333333333334,3.4416666666666664,24.525000000000002,24.058333333333334,1
2023-10-05,0.2,1007.5916666666667,1007.8541666666666,1007.275,26.84166666666667,27.320833333333336,26.400000000000002,8.558333333333334,4.245833333333334,22.083333333333332,21.599999999999998,1
2023-05-03,0.2,1006.5375,1006.7791666666667,1006.2416666666667,27.895833333333332,28.287499999999998,27.4375,5.8,2.6875,23.616666666666664,23.162499999999998,1
2023-03-27,0.2,1006.1208333333334,1006.3833333333333,1005.9083333333333,26.3,26.7,25.866666666666664,6.470833333333334,2.920833333333333,23.629166666666666,23.21666666666667,1
2023-03-23,0.2,1006.3333333333334,1006.5791666666668,1006.1166666666667,26.8125,27.287499999999998,26.304166666666664,7.729166666666667,3.6833333333333336,23.116666666666664,22.6375,1
2023-03-22,0.2,1007.3000000000001,1007.625,1007.0,26.0625,26.599999999999998,25.608333333333334,6.858333333333333,3.279166666666667,23.308333333333334,22.883333333333336,1
2023-05-14,0.2,1009.5416666666666,1009.7333333333332,1009.2708333333334,28.5625,28.974999999999998,28.224999999999998,6.55,3.1958333333333333,24.083333333333332,23.733333333333334,1
2023-03-21,0.2,1006.65,1006.9291666666667,1006.3666666666667,27.291666666666668,27.854166666666668,26.858333333333334,4.270833333333333,1.7708333333333333,23.808333333333334,23.412499999999998,1
